# franken-registry-v1
id	message	sha1	sha256	note
DV-001	hex:	da39a3ee5e6b4b0d3255bfef95601890afd80709	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	empty message
DV-002	hex:616263	a9993e364706816aba3e25717850c26c9cd0d89d	ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad	abc
DV-003	hex:6162636462636465636465666465666765666768666768696768696a68696a6b696a6b6c6a6b6c6d6b6c6d6e6c6d6e6f6d6e6f706e6f7071	84983e441c3bd26ebaae4aa1f95129e5e54670f1	248d6a61d20638b8e5c026930c3e6039a33ce45964ff2167f6ecedd419db06c1	FIPS 56-byte
DV-004	hex:61626364656667686263646566676869636465666768696a6465666768696a6b65666768696a6b6c666768696a6b6c6d6768696a6b6c6d6e68696a6b6c6d6e6f696a6b6c6d6e6f706a6b6c6d6e6f70716b6c6d6e6f7071726c6d6e6f707172736d6e6f70717273746e6f707172737475	a49b2446a02c645bf419f995b67091253a04a259	cf5b16a778af8380036ce59e7b0492370b249b11e8f07a51afac45037afee9d1	FIPS 112-byte
DV-005	repeat:61:1000000	34aa973cd4c4daa4f61eeb2bdbad27316534016f	cdc76e5c9914fb9281a1c7e284d73e67f1809a48a497200e046d39ccc7112cd0	one million a
DV-006	repeat:61:55	c1c8bbdc22796e28c0e15163d20899b65621d65a	9f4390f8d30c2dd92ec9f095b65e2b9ae9b0a925a5258e241c9f1e910f734318	last single-block length
DV-007	repeat:61:56	c2db330f6083854c99d4b5bfb6e8f29f201be699	b35439a4ac6f0948b6d6f9e3c6af0f5f590ce20f1bde7090ef7970686ec6738a	first two-block length
DV-008	repeat:61:63	03f09f5b158a7a8cdad920bddc29b81c18a551f5	7d3e74a05d7db15bce4ad9ec0658ea98e3f06eeecf16b4c6fff2da457ddc2f34	one below the block width
DV-009	repeat:61:64	0098ba824b5c16427bd7a1122a5a442a25ec644d	ffe054fe7ae0cb6dc65c3af9b61d5209f439851db43d0ba5997337df154668eb	exactly the block width
DV-010	repeat:61:65	11655326c708d70319be2610e8a57d9a5b959d3b	635361c48bb9eab14198e76ea8ab7f1a41685d6ad62aa9146d301d4f17eb0ae0	one above the block width
DV-011	repeat:61:119	ee971065aaa017e0632a8ca6c77bb3bf8b1dfc56	31eba51c313a5c08226adf18d4a359cfdfd8d2e816b13f4af952f7ea6584dcfb	one below two blocks plus length
DV-012	repeat:61:120	f34c1488385346a55709ba056ddd08280dd4c6d6	2f3d335432c70b580af0e8e1b3674a7c020d683aa5f73aaaedfdc55af904c21c	two blocks plus length
DV-013	hex:00	5ba93c9db0cff93f52b521d7420e43f6eda2784f	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	a single zero byte
DV-014	hex:000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f404142434445464748494a4b4c4d4e4f505152535455565758595a5b5c5d5e5f606162636465666768696a6b6c6d6e6f707172737475767778797a7b7c7d7e7f808182838485868788898a8b8c8d8e8f909192939495969798999a9b9c9d9e9fa0a1a2a3a4a5a6a7a8a9aaabacadaeafb0b1b2b3b4b5b6b7b8b9babbbcbdbebfc0c1c2c3c4c5c6c7c8c9cacbcccdcecfd0d1d2d3d4d5d6d7d8d9dadbdcdddedfe0e1e2e3e4e5e6e7e8e9eaebecedeeeff0f1f2f3f4f5f6f7f8f9fafbfcfdfeff	4916d6bdb7f78e6803698cab32d1586ea457dfc8	40aff2e9d2d8922e47afd4648e6967497158785fbd1da870e7110266bf944880	every byte value
