# franken-registry-v1
id	domain_tag	schema_family	schema_major	schema_minor	body	preimage	digest	note
IV-001	frankengit/ref-txn/v2	frankengit.canonical-body	1	0	hex:	156672616e6b656e6769742f7265662d74786e2f7632196672616e6b656e6769742e63616e6f6e6963616c2d626f6479000100000000000000000000	4516572a1d031807535d5642aceaf1f0a5be870192f32e5c6d48d22bffde6062	empty body
IV-002	frankengit/ref-txn/v2	frankengit.canonical-body	1	0	hex:6964656e746963616c20626f6479206279746573	156672616e6b656e6769742f7265662d74786e2f7632196672616e6b656e6769742e63616e6f6e6963616c2d626f64790001000000000000000000146964656e746963616c20626f6479206279746573	be71c50a92f3c6192031bbc795fd2c1a905ffbd58ca1e32798975aafd5dcde9e	shared body, first domain
IV-003	frankengit/txn-seal/v1	frankengit.canonical-body	1	0	hex:6964656e746963616c20626f6479206279746573	166672616e6b656e6769742f74786e2d7365616c2f7631196672616e6b656e6769742e63616e6f6e6963616c2d626f64790001000000000000000000146964656e746963616c20626f6479206279746573	6646dc7ad45982f0b1e20f5e0d9a17bb0fdf97ffa9aa56d80131ec9687ed3aaa	shared body, second domain
IV-004	frankengit/rcr/v1	frankengit.canonical-body	1	0	hex:6964656e746963616c20626f6479206279746573	116672616e6b656e6769742f7263722f7631196672616e6b656e6769742e63616e6f6e6963616c2d626f64790001000000000000000000146964656e746963616c20626f6479206279746573	9901ca34c0da218480e03ad27fdff27ee5c52470252bb99a30a0fa5924d78cfe	shared body, third domain
IV-005	frankengit/git-object-microsegment/v1	frankengit.microsegment	1	0	hex:6d6963726f7365676d656e7420626f6479	256672616e6b656e6769742f6769742d6f626a6563742d6d6963726f7365676d656e742f7631176672616e6b656e6769742e6d6963726f7365676d656e740001000000000000000000116d6963726f7365676d656e7420626f6479	1ed72c8a503a6e1f3da1d986416c7ce9bad8bf3e3072d2f941c5474522774eef	microsegment domain
IV-006	frankengit/ref-txn/v2	frankengit.canonical-body	2	0	hex:6964656e746963616c20626f6479206279746573	156672616e6b656e6769742f7265662d74786e2f7632196672616e6b656e6769742e63616e6f6e6963616c2d626f64790002000000000000000000146964656e746963616c20626f6479206279746573	aaddf7ac48af53efd14d353cad2e59fd38262038791fe58eb80d669d736b5f8c	schema major bumped
IV-007	frankengit/ref-txn/v2	frankengit.canonical-body	1	1	hex:6964656e746963616c20626f6479206279746573	156672616e6b656e6769742f7265662d74786e2f7632196672616e6b656e6769742e63616e6f6e6963616c2d626f64790001000100000000000000146964656e746963616c20626f6479206279746573	2f1727ff07760c8d5f23554b33c6da13dee0f4f1a902ff441e36cf6f76414d87	schema minor bumped
IV-008	frankengit/ref-txn/v2	frankengit.canonical-bod	1	0	hex:796964656e746963616c20626f6479206279746573	156672616e6b656e6769742f7265662d74786e2f7632186672616e6b656e6769742e63616e6f6e6963616c2d626f64000100000000000000000015796964656e746963616c20626f6479206279746573	c679224712ec7988e8c71a99961ca2c5b9eff0bec3c27e744e539affcc461de8	framing shift: one byte moved from family to body
IV-009	frankengit/git-payload-commitment/v1	frankengit.git-payload-commitment	1	0	hex:626c6f62203000	246672616e6b656e6769742f6769742d7061796c6f61642d636f6d6d69746d656e742f7631216672616e6b656e6769742e6769742d7061796c6f61642d636f6d6d69746d656e74000100000000000000000007626c6f62203000	66cafac940d9419b2c8352d367c7185d9001ff518dbb7427d4e1a3a3a057a50b	payload commitment over the empty blob
IV-010	frankengit/git-payload-commitment/v1	frankengit.git-payload-commitment	1	0	hex:626c6f622031320068656c6c6f20776f726c640a	246672616e6b656e6769742f6769742d7061796c6f61642d636f6d6d69746d656e742f7631216672616e6b656e6769742e6769742d7061796c6f61642d636f6d6d69746d656e74000100000000000000000014626c6f622031320068656c6c6f20776f726c640a	41e66f1f494cab7c95d01b6d0d8e02726239728d0fe4d2dbbb4b515140f2e660	payload commitment over a blob
IV-011	frankengit/generation/v1	frankengit.generation	3	7	repeat:5a:300	186672616e6b656e6769742f67656e65726174696f6e2f7631156672616e6b656e6769742e67656e65726174696f6e00030007000000000000012c5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a5a	e563c5ff3ffffc6b7ae567d279dd3249bc5ed734ad28988ebbd28f49f950a953	long body, non-trivial versions
IV-012	frankengit/merkle-leaf/v1	frankengit.microsegment	1	0	hex:7265636f7264206279746573	196672616e6b656e6769742f6d65726b6c652d6c6561662f7631176672616e6b656e6769742e6d6963726f7365676d656e7400010000000000000000000c7265636f7264206279746573	ef2f8e56deb51e9a05a132a26c1bf255c7424d443c1adfa06ffbe39a054d57ad	Merkle leaf
