# franken-registry-v1
id	key	message	tag	note
MV-001	0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b0b	4869205468657265	b0344c61d8db38535ca8afceaf0bf12b881dc200c9833da726e9376c2e32cff7	RFC 4231 TC1
MV-002	4a656665	7768617420646f2079612077616e7420666f72206e6f7468696e673f	5bdcc146bf60754e6a042426089575c75a003f089d2739839dec58b964ec3843	RFC 4231 TC2: short key
MV-003	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd	773ea91e36800e46854db8ebd09181a72959098b3ef8c122d9635514ced565fe	RFC 4231 TC3
MV-004	0102030405060708090a0b0c0d0e0f10111213141516171819	cdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcdcd	82558a389a443c0ea4cc819899f2083a85f0faa3e578f8077a2e3ff46729665b	RFC 4231 TC4
MV-005	0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c0c	546573742057697468205472756e636174696f6e	a3b6167473100ee06e0c796c2955552bfa6f7c0a6a8aef8b93f860aab0cd20c5	RFC 4231 TC5
MV-006	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	54657374205573696e67204c6172676572205468616e20426c6f636b2d53697a65204b6579202d2048617368204b6579204669727374	60e431591ee0b67f0d8a26aacbf5b77f8e0bc6213728c5140546040f0ee37f54	RFC 4231 TC6: key longer than the block
MV-007	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	5468697320697320612074657374207573696e672061206c6172676572207468616e20626c6f636b2d73697a65206b657920616e642061206c6172676572207468616e20626c6f636b2d73697a6520646174612e20546865206b6579206e6565647320746f20626520686173686564206265666f7265206265696e6720757365642062792074686520484d414320616c676f726974686d2e	9b09ffa71b942fcb27635fbcd5b0e944bfdc63644f0713938a7f51535c3a35e2	RFC 4231 TC7: long key and long data
MV-008			b613679a0814d9ec772f95d778c35fc5ff1697c493715653c6c712144292c5ad	empty key and empty message
MV-009	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	65786163746c79206f6e6520626c6f636b206f66206b6579	6b86dff4b91fe689c94291f9648c1f7cea871c24c0aaee8b7b0f295528e85fe3	key exactly the block width
MV-010	aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa	6f6e652062797465206f7665722074686520626c6f636b	54dac5203331946e01b3cbe3d99e209417f8842e6d2fa213ca129c4842257eea	key one byte over the block
