# franken-registry-v1
label	root_byte	epoch	tenant_hex	repository_hex	nonce_byte	aad_hex	plaintext_hex	key_commitment_hex	ciphertext_hex	tag_hex
empty-plaintext	5a	1			00			5b1c144c87652628705a48eb6b9856f50e4797f55615ec72f21f9bdb9b00ec53		e8a69f18992833952e6535a95f4ba100
operator-scope	5a	1			11		6f6e652063616e6f6e6963616c2074656e616e7420626f6479	5b1c144c87652628705a48eb6b9856f50e4797f55615ec72f21f9bdb9b00ec53	ccd33bd2c98d55a37f80c7f89fff755cdf0bb62dbb2edb2d9c	311c3ca66f7c1d964e1bf8946bbddd4c
tenant-scope	5a	1	74656e616e742d61		22		6f6e652063616e6f6e6963616c2074656e616e7420626f6479	d61e7f67c98002217adbf162c1e26ba31efe1b51602f62adb163562b3e2bc4ef	57102a3483410125cbfb9c313450e66b57a1a3c22a8ebf0560	842d0bf5b17c3fe697d0f6b0d4df66e4
other-tenant	5a	1	74656e616e742d62		22		6f6e652063616e6f6e6963616c2074656e616e7420626f6479	b33ea598a480830b8d64c96ce8814192a900583fe65f9bff55342cdefcf033e2	36463c5b78d0731aa7fd35bde2c3c22512ec3e5c65a5b7bcab	2297f4345a9d874304fb642e96401767
repository-scope	5a	1	74656e616e742d61	7265706f2d31	33		6f6e652063616e6f6e6963616c2074656e616e7420626f6479	e88570f48529a14180c60c9d1fb45c7a3966cd9e1a374e9dcc01e824997d3e4b	aa7690c0c9d35a663eb7d63300c295c398d1a945ac45b74ab1	669268434a997dd0b837f86c40f927d8
second-epoch	5a	2	74656e616e742d61		44		6f6e652063616e6f6e6963616c2074656e616e7420626f6479	b5e51ba9349cd61c07da42a3b57113b9b739f831588932a2ee5b8eecf6f18cdb	dea2ad32680e72bd6105620eafe74a5bd38c5add042d0cc1af	496db5e78b99187d073bb77c2611853d
with-associated-data	5a	1	74656e616e742d61		55	7365676d656e742d37	6f6e652063616e6f6e6963616c2074656e616e7420626f6479	d61e7f67c98002217adbf162c1e26ba31efe1b51602f62adb163562b3e2bc4ef	6282e25a2fb00686bf801e1d6c437b1d70acbeedba535ae93c	28ef22eb11a01fb4e22d891580d761b8
block-boundary-64	5a	1			66		000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f	5b1c144c87652628705a48eb6b9856f50e4797f55615ec72f21f9bdb9b00ec53	9a6d474c83892ff891a3bf0984cbb94417e3f20beb2faad226319e9c42a06148e1c93be395bf05d4b11e2ef0ae14ff5632afdc253450737f53852ab73656c7b5	181a60d22f388fac6f695ae92990e92c
block-boundary-65	5a	1			77		000102030405060708090a0b0c0d0e0f101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f303132333435363738393a3b3c3d3e3f40	5b1c144c87652628705a48eb6b9856f50e4797f55615ec72f21f9bdb9b00ec53	5424670575e273db09a540e2a955666f27e84b82aedfdd120a6306beb37543daf79821087c1d640e5ad1f44ca96a0d1f9c019cdb50edfb1044b9c563948e570764	14ab93b9f4ee5906883b5e6a45f4d684
other-root	a5	1			88		6f6e652063616e6f6e6963616c2074656e616e7420626f6479	71ae054d764a57e8d48e2735acdab196744392c38ed62f068b4fcd427ad41829	dbfee1b2fc6e1997a2b92c1f9d29687750faeeb611c99c3402	bfd8de44ab6015ec68da4d99c92849de
