anchored_under	remapped_onto	comparable	basis_advanced
whole	whole	true	false
whole	old:base-1	false	false
whole	new:base-1	false	false
whole	old:base-2	false	false
whole	new:base-2	false	false
old:base-1	whole	false	false
old:base-1	old:base-1	true	false
old:base-1	new:base-1	false	false
old:base-1	old:base-2	true	true
old:base-1	new:base-2	false	false
new:base-1	whole	false	false
new:base-1	old:base-1	false	false
new:base-1	new:base-1	true	false
new:base-1	old:base-2	false	false
new:base-1	new:base-2	true	true
old:base-2	whole	false	false
old:base-2	old:base-1	true	true
old:base-2	new:base-1	false	false
old:base-2	old:base-2	true	false
old:base-2	new:base-2	false	false
new:base-2	whole	false	false
new:base-2	old:base-1	false	false
new:base-2	new:base-1	true	true
new:base-2	old:base-2	false	false
new:base-2	new:base-2	true	false
