path	kind	outcome	resolved	candidates
0	heading	exact	0..15	1
1	paragraph	exact	17..76	1
2	block_quote	exact	78..151	1
2.0	paragraph	exact	80..109	1
2.1	list	exact	114..151	1
2.1.0	list_item	exact	114..139	1
2.1.0.0	paragraph	exact	116..139	1
2.1.1	list_item	exact	142..151	1
2.1.1.0	paragraph	exact	144..151	1
3	code_block	exact	153..173	1
4	list	exact	175..193	1
4.0	list_item	exact	175..183	1
4.0.0	paragraph	exact	178..183	1
4.1	list_item	exact	184..193	1
4.1.0	paragraph	exact	187..193	1
5	thematic_break	exact	195..198	1
6	paragraph	outdated	-	0
