depth	kind	bytes	chars	literal
0	paragraph	0..56	0..56	-
1	text	0..6	0..6	Plain 
1	emphasis	6..16	6..16	-
2	text	7..15	7..15	emphasis
1	text	16..21	16..21	 and 
1	strong	21..31	21..31	-
2	text	23..29	23..29	strong
1	text	31..36	31..36	 and 
1	emphasis	36..46	36..46	-
2	strong	37..45	37..45	-
3	text	39..43	39..43	both
1	text	46..56	46..56	 together.
0	paragraph	58..122	58..122	-
1	text	58..71	58..71	Underscores: 
1	emphasis	71..81	71..81	-
2	text	72..80	72..80	emphasis
1	text	81..83	81..83	, 
1	strong	83..93	83..93	-
2	text	85..91	85..91	strong
1	text	93..104	93..104	, and intra
1	text	104..105	104..105	_
1	text	105..109	105..109	word
1	text	109..110	109..110	_
1	text	110..122	110..122	underscores.
0	paragraph	124..172	124..172	-
1	text	124..132	124..132	Nested: 
1	emphasis	132..155	132..155	-
2	text	133..139	133..139	outer 
2	strong	139..148	139..148	-
3	text	141..146	141..146	inner
2	text	148..154	148..154	 outer
1	text	155..160	155..160	 and 
1	strong	160..171	160..171	-
2	text	162..164	162..164	a 
2	emphasis	164..167	164..167	-
3	text	165..166	165..166	b
2	text	167..169	167..169	 c
1	text	171..172	171..172	.
