depth	kind	bytes	chars	literal
0	paragraph	0..49	0..49	-
1	text	0..27	0..27	A line ending in two spaces
1	hard_break	27..30	27..30	  \n
1	text	30..49	30..49	then the next line.
0	paragraph	51..100	51..100	-
1	text	51..79	51..79	A line ending in a backslash
1	hard_break	79..81	79..81	\\\n
1	text	81..100	81..100	then the next line.
0	paragraph	102..160	102..160	-
1	text	102..111	102..111	Escapes: 
1	escaped	111..113	111..113	\\*
1	text	113..125	113..125	not emphasis
1	escaped	125..127	125..127	\\*
1	text	127..129	127..129	, 
1	escaped	129..131	129..131	\\\\
1	text	131..145	131..145	 a backslash, 
1	escaped	145..147	145..147	\\[
1	text	147..157	147..157	not a link
1	escaped	157..159	157..159	\\]
1	text	159..160	159..160	.
0	paragraph	162..224	162..224	-
1	text	162..224	162..224	An ampersand & a less-than < and an entity &amp; stay literal.
